No.;Time;Comment;Scramble;Date;P.1
82;11.33;;B R2 B' L2 D2 U2 F D2 F' R2 D' B2 L' B' U R D2 L R';2020-03-21 16:02:00;11.33
83;16.80;;U' R F R D2 F L2 D' L2 B2 D2 B' D2 B D2 R2 B' U2 R2 F2 L;2020-03-21 16:04:10;16.80
84;12.33;;D U2 R2 B R2 B D2 R2 B F U2 B U2 D' B' R U R2 B R U;2020-03-21 16:04:37;12.33
85;14.29;;U R2 U B2 L2 F2 D' F2 U2 F2 U B F R' B2 U' F' L' F R' U;2020-03-21 16:05:00;14.29
86;11.58;;F2 D2 F2 D2 R2 B2 R2 F' D2 R' B2 R2 D2 U B' R D L' R';2020-03-21 16:05:28;11.58
87;14.33;;U' B' R2 U F2 D L2 U2 R2 D2 B2 R2 U' R B' U L' R' U' B' F;2020-03-21 16:05:56;14.33
88;15.36;;D' B' L2 D' F D2 L' U' R U2 B2 U' F2 R2 B2 R2 B2 D' L2 B2 D2;2020-03-22 13:54:57;15.36
89;12.85;;U2 B' L2 B' D2 B' D2 F' R2 U2 L2 F' L' U2 R' D U' F L U' L';2020-03-22 13:55:24;12.85
90;16.68;;B R2 F2 D U2 F2 U' R2 D' B2 R2 B F R' D2 B U' F D;2020-03-22 13:55:48;16.68
91;19.20;;B2 U B2 D2 R2 D' U2 F2 D2 L2 R' D2 L B' R2 B2 D' R' F2 R;2020-03-22 13:56:18;19.20
92;15.18;;D2 F2 B' D' L F R F U' B L2 B' D2 R2 B2 L2 F' D2 B' R2 U';2020-03-22 13:56:54;15.18
93;13.66;;R2 U' F' R' B' R B2 L' D' R' L2 D2 R2 F2 L2 F2 B' R2 D2 B' D2;2020-03-22 13:57:22;13.66
94;14.09;;R2 D2 F2 L2 B R2 F' U2 L2 U R F' L B' U' R2 D2 U' R;2020-03-22 13:57:47;14.09
95;13.86;;L B' L F2 B2 U' B L2 D R2 D2 B2 U B2 U R2 F2 U2 F2 L';2020-03-22 13:58:13;13.86
96;11.65;;R D F L' U F' U2 B U D2 L' F2 U2 L F2 L' D2 R B2 D2 R2;2020-03-22 13:58:41;11.65
97;12.26;;F' D2 L' U2 R2 F2 L D2 F2 R F2 D2 R F' L' U R' U2 L2 B D;2020-03-22 13:59:06;12.26
98;11.99;;U2 L U2 F D B' L' R2 B D2 B2 R2 F2 L2 U2 B2 D2 F' R2 U' F2;2020-03-22 13:59:32;11.99
99;13.30;;R2 F2 D' R2 U2 R2 D2 B2 U L2 F U2 R F L D F R F R2;2020-03-22 13:59:57;13.30
100;12.50;;B2 U2 L2 B U2 B' D2 B2 L2 R2 F' R' B' R2 D' L B' U' F' R' U;2020-03-22 14:00:23;12.50
101;14.15;;F' D' B2 D2 U2 F D2 B' U2 B' D2 U B R' B F' D L R;2020-03-22 14:00:50;14.15
102;9.93;;U2 R' F2 R F U' B2 D' L U2 L2 U2 B' L2 B2 D2 R2 U2 F U2 L2;2020-03-22 14:01:18;9.93
103;11.99;;B' F2 D' F2 L2 F2 U F2 R2 D2 U' B2 R U' B' L2 U R' F R2;2020-03-22 14:01:41;11.99
104;13.48;;U' L2 D B2 U' F2 U L2 R2 B2 U R2 B' R' U2 F2 R' B F' U' F';2020-03-22 14:02:03;13.48
105;10.94;;D' L' U B' R' D' B L B U2 D2 R U2 L U2 F2 U2 L' F2 R';2020-03-22 14:02:30;10.94
106;14.30;;B2 L2 D2 B2 R2 U2 B2 R2 F L2 R2 D' U F' R B' D2 L R2 D' L2;2020-03-22 14:02:54;14.30
107;15.67;;F' L' U' R2 D' B2 U R2 U' B2 U' B2 F2 L' B F' L F2 R' D' F;2020-03-22 14:03:23;15.67
108;11.92;;R B' F2 D' B2 D B2 R2 D L2 U R2 B2 D' B' L R2 B' U2 B' U;2020-03-22 14:03:58;11.92
109;13.93;;L' B R2 U F2 U' L2 B2 D' R2 B2 L' B2 U2 L B2 L2 D' B';2020-03-22 14:04:38;13.93
110;12.84;;B' U2 F R2 B2 U2 B R2 D2 F' L2 U' R D2 R' B2 F R2 D';2020-03-22 14:06:21;12.84
111;11.56;;D2 B D2 R2 D2 F2 L2 B D2 B2 U2 D' F2 U F U L' F' D';2020-03-22 14:06:44;11.56
112;11.44;;R2 U' R L2 U B2 D2 R2 U B2 U F2 U L2 R' B L2 F2 D F R;2020-03-22 14:09:13;11.44
113;12.53;;R' U L D' B2 U2 L2 D' L2 U2 F2 U' L2 B2 R' B F' R D2 B2 D2;2020-03-22 14:09:39;12.53
114;13.90;;R2 B' D2 L2 R2 B U2 B U2 F2 R2 B R' B L' U R F R' B2 F';2020-03-22 14:10:05;13.90
115;14.30;;L2 D2 F2 D2 R2 D' F2 U2 L2 U' R2 B' L F D2 R U' L' F' L';2020-03-22 14:10:30;14.30
116;10.96;;F' L' D' L2 F2 D2 L2 U R2 F2 D' L2 F2 U' R' D2 F' D L U' F';2020-03-22 14:10:59;10.96
117;12.79;;R' L2 F' R2 D2 B' R2 F U2 F2 L2 U R U' F' R' U' F' D;2020-03-22 14:11:26;12.79
118;13.58;;B U2 B2 R' F2 L2 R' D2 R B2 F D' U' B L2 F' U2 L2 U';2020-03-22 14:11:49;13.58
119;10.91;;B2 U2 R2 U L2 F2 U2 R2 B2 D U' B' R F D U R2 U' F' U R';2020-03-22 14:12:16;10.91
120;14.07;;F' L2 F' D' R B' L F' D2 R2 L2 F' L2 F L2 B L2 U2 D2 R';2020-03-22 14:12:51;14.07
121;11.62;;F2 D2 R B' R2 D2 B' U2 L2 B' U2 B R2 B U' R2 D L' F D F2;2020-03-22 14:13:17;11.62
122;14.56;;F2 R2 D2 B' L2 F' U2 B2 D2 F' D' B R B F R2 D' U' R' F;2020-03-22 14:13:40;14.56
123;12.88;;R2 B2 R2 U2 B L2 U2 L2 D2 R2 B2 F L' U' L2 B D2 F' L R2;2020-03-22 14:14:15;12.88
124;12.68;;L' U' D2 B' L2 B L F2 R B2 U' L2 D L2 D' B2 D2 R2 D R2;2020-03-22 14:14:43;12.68
125;11.24;;D2 B2 L2 F' U2 L2 D2 U2 F' R2 B2 D' L2 R B2 D2 U' L' R' B';2020-03-22 14:16:06;11.24
126;13.60;;U2 R2 U L2 R2 U B2 U2 L2 F U' L' B2 F U' B' F2 U' F2;2020-03-22 14:16:29;13.60
127;12.01;;R' D2 B2 R' B2 R F2 D2 F2 U2 D L U F2 U B' L' F' L2;2020-03-22 14:17:16;12.01
128;13.67;;L' B2 R' D2 U2 R' U2 R' F2 R D2 B U F L U' B2 F' R;2020-03-22 14:17:41;13.67
129;15.29;;D U2 B2 R2 B D2 B2 F' D2 L2 B D' R D B' L B2 D' U' B;2020-03-22 14:18:06;15.29
130;13.31;;R2 B2 D R U2 F L' U2 B2 R2 U' B2 U' R2 F2 R2 L2 U' F2;2020-03-22 14:18:36;13.31
131;11.83;;B2 R2 U F2 L2 D B2 U' R2 U L F' L2 B2 U L' D2 F' R F';2020-03-22 14:18:59;11.83
